transaction_id,customer_id,product_id,amount,transaction_date
T9169370,C00088,P0030,136.62,2025-05-24 00:31:00
T1345303,C00061,P0036,359.82,2025-05-24 17:15:00
T9544699,C00083,P0048,381.82,2025-05-24 09:49:00
T6717168,C00060,P0050,55.19,2025-05-24 11:25:00
T7592125,C00049,P0016,430.82,2025-05-24 00:19:00
T5892299,C00028,P0041,243.94,2025-05-24 23:34:00
T7347455,C00075,P0004,204.57,2025-05-24 03:24:00
T8705498,C00098,P0003,193.7,2025-05-24 10:15:00
T5976798,C00062,P0002,313.55,2025-05-24 07:14:00
T4788741,C00097,P0022,320.25,2025-05-24 00:05:00
T7916743,C00031,P0007,170.94,2025-05-24 06:33:00
T2838631,C00091,P0043,423.02,2025-05-24 03:21:00
T5711483,C00007,P0004,478.68,2025-05-24 22:36:00
T7083346,C00060,P0041,36.46,2025-05-24 08:45:00
T5887974,C00029,P0012,385.32,2025-05-24 21:25:00
T3145292,C00014,P0018,498.57,2025-05-24 07:17:00
T6796385,C00033,P0001,498.75,2025-05-24 04:39:00
T6950666,C00052,P0006,411.76,2025-05-24 13:16:00
T9245641,C00096,P0043,263.76,2025-05-24 18:36:00
T7697937,C00041,P0008,402.63,2025-05-24 20:42:00
T4730992,C00036,P0020,34.39,2025-05-24 05:39:00
T2414495,C00006,P0002,140.07,2025-05-24 07:51:00
T2529992,C00005,P0007,172.88,2025-05-24 15:07:00
T6971005,C00079,P0011,272.51,2025-05-24 21:03:00
T3210046,C00089,P0035,249.76,2025-05-24 11:14:00
T8149470,C00026,P0025,34.83,2025-05-24 23:39:00
T9591019,C00080,P0008,30.66,2025-05-24 19:59:00
T9152444,C00064,P0020,485.41,2025-05-24 05:07:00
T1601527,C00015,P0003,7.49,2025-05-24 14:37:00
T4691516,C00064,P0008,493.66,2025-05-24 21:13:00
T9794130,C00019,P0015,423.37,2025-05-24 07:39:00
T5474308,C00089,P0036,13.59,2025-05-24 23:02:00
