transaction_id,customer_id,product_id,amount,transaction_date
T4338953,C00033,P0020,135.54,2025-05-21 14:08:00
T6240105,C00088,P0045,346.0,2025-05-21 19:22:00
T5468127,C00045,P0048,273.14,2025-05-21 17:28:00
T2969254,C00100,P0049,71.49,2025-05-21 08:25:00
T4051488,C00027,P0045,170.96,2025-05-21 22:50:00
T5522133,C00021,P0044,66.74,2025-05-21 01:32:00
T1910036,C00082,P0044,43.01,2025-05-21 19:26:00
T3788884,C00028,P0006,474.34,2025-05-21 16:01:00
T8773424,C00041,P0025,328.47,2025-05-21 18:42:00
T6383348,C00010,P0002,308.57,2025-05-21 05:34:00
T5457151,C00019,P0017,459.72,2025-05-21 04:12:00
T3822907,C00099,P0038,280.69,2025-05-21 07:23:00
T6978592,C00011,P0013,431.99,2025-05-21 18:21:00
T4776207,C00067,P0007,487.57,2025-05-21 16:27:00
T4422025,C00057,P0037,24.45,2025-05-21 13:14:00
T1313667,C00055,P0013,421.11,2025-05-21 03:06:00
T6655537,C00082,P0007,412.57,2025-05-21 11:30:00
T3525283,C00049,P0040,97.73,2025-05-21 22:56:00
T8572944,C00037,P0004,224.61,2025-05-21 18:20:00
T3807817,C00038,P0013,487.96,2025-05-21 22:03:00
T6198192,C00045,P0032,324.73,2025-05-21 03:21:00
T8626413,C00005,P0042,36.4,2025-05-21 04:49:00
T2422810,C00066,P0010,315.79,2025-05-21 15:37:00
T2892941,C00095,P0034,244.07,2025-05-21 08:41:00
T1286061,C00021,P0014,46.6,2025-05-21 20:54:00
T7613195,C00100,P0036,199.66,2025-05-21 15:21:00
T9709357,C00012,P0050,49.88,2025-05-21 17:55:00
T9869146,C00053,P0011,311.35,2025-05-21 15:23:00
T5936285,C00044,P0021,211.15,2025-05-21 05:21:00
T4874512,C00070,P0031,181.5,2025-05-21 09:38:00
T4628710,C00043,P0009,85.29,2025-05-21 18:42:00
T9326383,C00008,P0002,320.28,2025-05-21 02:19:00
T3476810,C00069,P0009,72.04,2025-05-21 01:24:00
T1948764,C00049,P0009,273.59,2025-05-21 01:17:00
T7470220,C00071,P0039,302.83,2025-05-21 12:31:00
T2820155,C00041,P0005,119.14,2025-05-21 21:00:00
T2849866,C00055,P0012,268.13,2025-05-21 09:41:00
T7631656,C00017,P0017,348.65,2025-05-21 10:21:00
T6160712,C00077,P0034,446.49,2025-05-21 06:33:00
T8980874,C00043,P0007,477.13,2025-05-21 23:36:00
T8718894,C00043,P0035,141.64,2025-05-21 10:26:00
T5235784,C00073,P0025,239.59,2025-05-21 07:18:00
T9953082,C00053,P0049,449.93,2025-05-21 19:30:00
T1973368,C00042,P0015,251.39,2025-05-21 23:58:00
T3423571,C00095,P0036,120.13,2025-05-21 18:37:00
T4970879,C00058,P0028,90.25,2025-05-21 02:34:00
T6755853,C00026,P0031,9.3,2025-05-21 14:19:00
T3017087,C00035,P0033,110.1,2025-05-21 10:57:00
T4842786,C00071,P0011,336.69,2025-05-21 05:44:00
T3680102,C00076,P0043,69.1,2025-05-21 00:05:00
T5900889,C00044,P0017,464.3,2025-05-21 20:00:00
T4930663,C00094,P0048,160.76,2025-05-21 01:45:00
T4188616,C00080,P0021,97.8,2025-05-21 13:40:00
T7305810,C00007,P0008,86.45,2025-05-21 10:29:00
T7930353,C00022,P0008,450.51,2025-05-21 20:49:00
T2371648,C00097,P0017,186.59,2025-05-21 01:33:00
T5578985,C00073,P0011,50.19,2025-05-21 11:48:00
T4632983,C00017,P0033,110.79,2025-05-21 09:19:00
T6641076,C00058,P0019,184.36,2025-05-21 11:10:00
T1951076,C00009,P0030,126.3,2025-05-21 03:51:00
T3717364,C00083,P0045,76.94,2025-05-21 23:31:00
T6998954,C00069,P0048,211.95,2025-05-21 22:58:00
T4927259,C00041,P0005,279.34,2025-05-21 16:09:00
T4317671,C00008,P0026,104.35,2025-05-21 18:59:00
T5393809,C00038,P0046,200.65,2025-05-21 22:43:00
T8396700,C00073,P0041,410.55,2025-05-21 15:29:00
T9636186,C00082,P0013,485.98,2025-05-21 15:20:00
